u,v,w
두나서점도곡점,커피홀릭,1
고향한식부폐,커피홀릭,1
더샘강남역점,커피홀릭,1
탐앤탐스서초점,커피홀릭,1
주식회사비에스케이코퍼레이션,커피홀릭,1
미니스톱강남센터점,커피홀릭,1
아이제이,커피홀릭,1
에프샵2,연예인병,1
파리바게뜨,연예인병,1
다이타네일예진미인,연예인병,1
세븐일레븐양재점,연예인병,1
김영모과자점,연예인병,1
KFC서초동,연예인병,1
교촌치킨역삼1호점,연예인병,1
아리따움강남역지하점,연예인병,1
뚜레쥬르서초역점,연예인병,1
커피빈서초우성점,연예인병,1
토니모리강남점,연예인병,1
GS25서초제일점,연예인병,1
파스쿠찌,연예인병,1
디에이비강남점,연예인병,1
한국아트체인,연예인병,1
커피빈강남대로점,연예인병,1
두나서점도곡점,연예인병,1
더샘강남역점,연예인병,1
탐앤탐스서초점,연예인병,1
주식회사비에스케이코퍼레이션,연예인병,1
미니스톱강남센터점,연예인병,1
아이제이,연예인병,1
도미노피자서초점,웰빙족,1
파리바게뜨,웰빙족,1
만리성,웰빙족,1
미스터피자선릉점,웰빙족,1
세븐일레븐양재점,웰빙족,1
파리크라상강남역,웰빙족,1
매드포갈릭예술의전당점,웰빙족,1
김영모과자점,웰빙족,1
KFC서초동,웰빙족,1
교촌치킨역삼1호점,웰빙족,1
(주)거북곱창,웰빙족,1
뚜레쥬르서초역점,웰빙족,1
커피빈서초우성점,웰빙족,1
강남일미포차,웰빙족,1
왕대박감자탕,웰빙족,1
GS25서초제일점,웰빙족,1
엔제리너스강남교보타워,웰빙족,1
파스쿠찌,웰빙족,1
디에이비강남점,웰빙족,1
커피빈강남대로점,웰빙족,1
엘투제이뮈렌,웰빙족,1
아웃백양재점,웰빙족,1
두나서점도곡점,웰빙족,1
탐앤탐스서초점,웰빙족,1
(주)툴쿠아즈,웰빙족,1
마키노차야역삼점,웰빙족,1
금문도,웰빙족,1
봉피양,웰빙족,1
삼통치킨,웰빙족,1
연화산,웰빙족,1
아이제이,패셔너블한,1
에프샵2,패셔너블한,1
